RHEA_ID	DIRECTION	MASTER_ID	ID
10041	LR	10040	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
10093	LR	10092	DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN
10117	LR	10116	RXN-9952
10121	LR	10120	AMINOCYL-TRNA-HYDROLASE-RXN
10137	LR	10136	GLYOCARBOLIG-RXN
10145	LR	10144	3-NUCLEOTID-RXN
10167	BI	10164	2PGADEHYDRAT-RXN
10193	LR	10192	ABC-70-RXN
10197	LR	10196	O-SUCCINYLBENZOATE-COA-SYN-RXN
10221	LR	10220	TYROSINE--TRNA-LIGASE-RXN
10225	LR	10224	PYRIDOXKIN-RXN
10231	BI	10228	ACONITATEDEHYDR-RXN
10242	RL	10240	1.3.1.9-RXN
10249	LR	10248	DUTP-PYROP-RXN
10261	LR	10260	TRANS-RXN-250
10267	BI	10264	ALDOSE-1-EPIMERASE-RXN
10275	BI	10272	DIACYLGLYKIN-RXN
10303	BI	10300	GAPOXNPHOSPHN-RXN
10339	BI	10336	RXN-14047
10377	LR	10376	3.6.3.4-RXN
10383	BI	10380	OROPRIBTRANS-RXN
10413	LR	10412	RXN0-1441
10441	LR	10440	GLUCONOLACT-RXN
10459	BI	10456	MALTACETYLTRAN-RXN
10489	LR	10488	5-FORMYL-THF-CYCLO-LIGASE-RXN
10493	LR	10492	RXN-5647
10511	BI	10508	1TRANSKETO-RXN
10533	LR	10532	TRYPSYN-RXN
10541	LR	10540	H2NEOPTERINALDOL-RXN
10581	LR	10580	FOLYLPOLYGLUTAMATESYNTH-RXN
10597	LR	10596	2.7.10.1-RXN
10631	BI	10628	TRNA-NUCLEOTIDYLTRANSFERASE-RXN
10678	RL	10676	RXN-8991
10679	BI	10676	RXN-13163
10685	LR	10684	PROTEIN-TYROSINE-PHOSPHATASE-RXN
10705	LR	10704	VALINE--TRNA-LIGASE-RXN
10739	BI	10736	ALCOHOL-DEHYDROG-GENERIC-RXN
10751	BI	10748	RXN0-5224
10761	LR	10760	CITLY-RXN
10773	LR	10772	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
10802	RL	10800	XANPRIBOSYLTRAN-RXN
10815	BI	10812	SUCCGLUALDDEHYD-RXN
10841	LR	10840	THRESYN-RXN
10847	BI	10844	PYROXALTRANSAM-RXN
10895	BI	10892	3-ISOPROPYLMALDEHYDROG-RXN
10913	LR	10912	PANTOATE-BETA-ALANINE-LIG-RXN
10933	LR	10932	ARGSUCCINSYN-RXN
10965	LR	10964	XYLULOKIN-RXN
10994	RL	10992	GLYOXYLATE-REDUCTASE-NADP%2b-RXN
11029	LR	11028	MANNKIN-RXN
11041	LR	11040	IMIDPHOSDEHYD-RXN
11061	LR	11060	ISOLEUCINE--TRNA-LIGASE-RXN
11065	LR	11064	F16BDEPHOS-RXN
11094	RL	11092	GLYC3PDEHYDROGBIOSYN-RXN
11098	RL	11096	GLYC3PDEHYDROGBIOSYN-RXN
11115	BI	11112	ISOCHORMAT-RXN
11117	LR	11116	DIAMACTRANS-RXN
11121	LR	11120	RXN-12893
11143	BI	11140	PHOSMANMUT-RXN
11149	LR	11148	RXN0-1483
11173	LR	11172	HOMOCYSMETB12-RXN
11181	LR	11180	ASPARAGINE--TRNA-LIGASE-RXN
11197	LR	11196	DMBPPRIBOSYLTRANS-RXN
11227	BI	11224	DALADALALIG-RXN
11271	BI	11268	DCYSDESULF-RXN
11305	LR	11304	UREIDOGLYCOLATE-LYASE-RXN
11309	LR	11308	ACETYL-COA-CARBOXYLTRANSFER-RXN
11333	LR	11332	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN
11355	BI	11352	ACETATEKIN-RXN
11357	LR	11356	NQOR-RXN
11365	LR	11364	PEPSYNTH-RXN
11373	LR	11372	ASNSYNA-RXN
11413	LR	11412	H2PTERIDINEPYROPHOSPHOKIN-RXN
11477	LR	11476	GLYCEROL-1-PHOSPHATASE-RXN
11501	LR	11500	KDO-8PPHOSPHAT-RXN
11597	LR	11596	OROTPDECARB-RXN
11601	LR	11600	RXN-11832
11615	BI	11612	GLUTDEHYD-RXN
11635	BI	11632	SELENOCYSTEINE-LYASE-RXN
11675	BI	11672	PABASYN-RXN
11681	LR	11680	GMP-SYN-GLUT-RXN
11689	LR	11688	LEUCINE--TRNA-LIGASE-RXN
11693	LR	11692	PYRNUTRANSHYDROGEN-RXN
11711	BI	11708	IMP-DEHYDROG-RXN
11726	RL	11724	1.8.4.8-RXN
11742	RL	11740	GLUTATHIONE-REDUCT-NADPH-RXN
11757	LR	11756	BIOTINLIG-RXN
11770	RL	11768	PRTRANS-RXN
11801	LR	11800	NADPYROPHOSPHAT-RXN
11819	BI	11816	PGLUCISOM-RXN
11827	BI	11824	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
11829	LR	11828	RXN-15952
11846	RL	11844	PYRUVFORMLY-RXN
11861	LR	11860	2.7.13.2-RXN
11867	BI	11864	1.5.8.2-RXN
11955	BI	11952	RXN0-305
11963	BI	11960	SUCCINYLDIAMINOPIMTRANS-RXN
11973	LR	11972	RXN-15294
11989	LR	11988	2.1.1.79-RXN
