RHEA_ID	DIRECTION	MASTER_ID	ID
10137	LR	10136	M0298
10165	LR	10164	M0311
10245	LR	10244	M0180
10509	LR	10508	M0219
10642	RL	10640	M0269
10733	LR	10732	M0128
10750	RL	10748	M0216
10757	LR	10756	M0207
10933	LR	10932	M0316
11173	LR	11172	M0268
11197	LR	11196	M0079
11373	LR	11372	M0075
11545	LR	11544	M0266
11597	LR	11596	M0050
11673	LR	11672	M0283
11681	LR	11680	M0234
11694	RL	11692	M0116
11742	RL	11740	M0006
11846	RL	11844	M0030
11933	LR	11932	M0217
12053	LR	12052	M0262
12105	LR	12104	M0031
12229	LR	12228	M0302
12533	LR	12532	M0156
12675	RL	12673	M0057
12735	RL	12733	M0008
12814	LR	12813	M0001
12859	RL	12857	M0063
12894	LR	12893	M0192
12934	LR	12933	M0072
12974	LR	12973	M0290
13186	LR	13185	M0260
13202	LR	13201	M0018
13247	RL	13245	M0272
13314	LR	13313	M0113
13558	LR	13557	M0199
13678	LR	13677	M0270
13770	LR	13769	M0312
13894	LR	13893	M0101
13946	LR	13945	M0187
14266	LR	14265	M0195
14354	LR	14353	M0236
14803	RL	14801	M0040
14854	LR	14853	M0024
15011	RL	15009	M0112
15306	LR	15305	M0100
15390	LR	15389	M0058
15483	RL	15481	M0147
15503	RL	15501	M0304
15754	LR	15753	M0065
15782	LR	15781	M0245
15806	LR	15805	M0074
15871	RL	15869	M0066
15890	LR	15889	M0301
15910	LR	15909	M0129
15974	LR	15973	M0154
15982	LR	15981	M0225
15991	RL	15989	M0093
16070	LR	16069	M0097
16202	LR	16201	M0305
16510	LR	16509	M0231
16546	LR	16545	M0155
16670	LR	16669	M0139
16810	LR	16809	M0182
16846	LR	16845	M0078
16854	LR	16853	M0080
16862	LR	16861	M0249
16882	LR	16881	M0153
17014	LR	17013	M0271
17474	LR	17473	M0038
17638	LR	17637	M0254
17938	LR	17937	M0085
18082	LR	18081	M0089
18134	LR	18133	M0287
18182	LR	18181	M0053
18254	LR	18253	M0021
18406	LR	18405	M0067
18587	RL	18585	M0324
18618	LR	18617	M0051
18906	LR	18905	M0181
18966	LR	18965	M0204
18986	LR	18985	M0325
19071	RL	19069	M0032
19170	LR	19169	M0186
19478	LR	19477	M0131
19511	RL	19509	M0237
19514	LR	19513	M0012
19630	LR	19629	M0007
19819	RL	19817	M0120
19938	LR	19937	M0023
20058	LR	20057	M0025
20114	LR	20113	M0206
20250	LR	20249	M0213
20554	LR	20553	M0033
20558	LR	20557	M0087
20697	LR	20696	M0138
20749	LR	20748	M0137
20773	LR	20772	M0247
20825	LR	20824	M0209
